Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Marc,Serré,Nickel Belt,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Brenda,Shanahan,Châteauguay—Lacolle,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Martin,Shields,Bow River,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Maninder,Sidhu,Brampton East,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Sonia,Sidhu,Brampton South,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Mario,Simard,Jonquière,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Nathalie,Sinclair-Desgagné,Terrebonne,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Jagmeet,Singh,Burnaby South,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Clifford,Small,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Conservative,2021-09-20 12:00:00 AM,
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Gerald,Soroka,Yellowhead,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Charles,Sousa,Mississauga—Lakeshore,Ontario,Liberal,2022-12-12 12:00:00 AM,
,Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Jake,Stewart,Miramichi—Grand Lake,New Brunswick,Conservative,2021-09-20 12:00:00 AM,
Hon.,Pascale,St-Onge,Brome—Missisquoi,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Shannon,Stubbs,Lakeland,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Jenna,Sudds,Kanata—Carleton,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Leah,Taylor Roy,Aurora—Oak Ridges—Richmond Hill,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Alain,Therrien,La Prairie,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Rachael,Thomas,Lethbridge,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Joanne,Thompson,St. John's East,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,
,Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Fraser,Tolmie,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
Right Hon.,Justin,Trudeau,Papineau,Quebec,Liberal,2021-09-20 12:00:00 AM,
,Denis,Trudel,Longueuil—Saint-Hubert,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Ryan,Turnbull,Whitby,Ontario,Liberal,2021-09-20 12:00:00 AM,
Hon.,Tim,Uppal,Edmonton Mill Woods,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Rechie,Valdez,Mississauga—Streetsville,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Tony,Van Bynen,Newmarket—Aurora,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Adam,van Koeverden,Milton,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Tako,Van Popta,Langley—Aldergrove,British Columbia,Conservative,2021-09-20 12:00:00 AM,
Hon.,Dan,Vandal,Saint Boniface—Saint Vital,Manitoba,Liberal,2021-09-20 12:00:00 AM,
,Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Karen,Vecchio,Elgin—Middlesex—London,Ontario,Conservative,2021-09-20 12:00:00 AM,
,Gary,Vidal,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Dominique,Vien,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,2021-09-20 12:00:00 AM,
,Arnold,Viersen,Peace River—Westlock,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Julie,Vignola,Beauport—Limoilou,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,René,Villemure,Trois-Rivières,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,
,Arif,Virani,Parkdale—High Park,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Brad,Vis,Mission—Matsqui—Fraser Canyon,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Kevin,Vuong,Spadina—Fort York,Ontario,Independent,2021-09-20 12:00:00 AM,
,Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Chris,Warkentin,Grande Prairie—Mackenzie,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Kevin,Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,
,Len,Webber,Calgary Confederation,Alberta,Conservative,2021-09-20 12:00:00 AM,
,Patrick,Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,2021-09-20 12:00:00 AM,
Hon.,Jonathan,Wilkinson,North Vancouver,British Columbia,Liberal,2021-09-20 12:00:00 AM,
,Ryan,Williams,Bay of Quinte,Ontario,Conservative,2021-09-20 12:00:00 AM,
,John,Williamson,New Brunswick Southwest,New Brunswick,Conservative,2021-09-20 12:00:00 AM,
,Jean,Yip,Scarborough—Agincourt,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Salma,Zahid,Scarborough Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,
,Bonita,Zarrillo,Port Moody—Coquitlam,British Columbia,NDP,2021-09-20 12:00:00 AM,
,Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,2021-09-20 12:00:00 AM,
,Sameer,Zuberi,Pierrefonds—Dollard,Quebec,Liberal,2021-09-20 12:00:00 AM,
Hon.,Jim,Abbott,Kootenay—Columbia,British Columbia,Conservative,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
Hon.,Diane,Ablonczy,Calgary—Nose Hill,Alberta,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Eve,Adams,Mississauga—Brampton South,Ontario,Liberal,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
Hon.,Peter,Adams,Peterborough,Ontario,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Mark,Adler,York Centre,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
Hon.,Leona,Aglukkaq,Nunavut,Nunavut,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Hélène,Alarie,Louis-Hébert,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Harold,Albrecht,Kitchener—Conestoga,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Reg,Alcock,Winnipeg South,Manitoba,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
Hon.,Chris,Alexander,Ajax—Pickering,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Carole-Marie,Allard,Laval East,Quebec,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Malcolm,Allen,Welland,Ontario,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Mike,Allen,Tobique—Mactaquac,New Brunswick,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Leona,Alleslev,Aurora—Oak Ridges—Richmond Hill,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Stella,Ambler,Mississauga South,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
Hon.,Rona,Ambrose,Sturgeon River—Parkland,Alberta,Conservative,2015-10-19 12:00:00 AM,2017-07-04 11:59:59 PM
,William,Amos,Pontiac,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Rob,Anders,Calgary West,Alberta,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,David,Anderson,Cypress Hills—Grasslands,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,David,Anderson,Victoria,British Columbia,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Guy,André,Berthier—Maskinongé,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Scott,Andrews,Avalon,Newfoundland and Labrador,Independent,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Scott,Armstrong,Cumberland—Colchester—Musquodoboit Valley,Nova Scotia,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,André,Arthur,Portneuf—Jacques-Cartier,Quebec,Independent,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
Hon.,Keith,Ashfield,Fredericton,New Brunswick,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Jay,Aspin,Nipissing—Timiskaming,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Mark,Assad,Gatineau,Quebec,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Sarkis,Assadourian,Brampton Centre,Ontario,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Gérard,Asselin,Manicouagan,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Alex,Atamanenko,British Columbia Southern Interior,British Columbia,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Robert,Aubin,Trois-Rivières,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Jean,Augustine,Etobicoke—Lakeshore,Ontario,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Chris,Axworthy,Saskatoon—Rosetown—Biggar,Saskatchewan,NDP,1997-06-02 12:00:00 AM,1999-06-01 12:00:00 AM
Hon.,Lloyd,Axworthy,Winnipeg South Centre,Manitoba,Liberal,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Paulina,Ayala,Honoré-Mercier,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Ramez,Ayoub,Thérèse-De Blainville,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,André,Bachand,Richmond—Arthabaska,Quebec,Independent,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Claude,Bachand,Saint-Jean,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
Hon.,Larry,Bagnell,Yukon,Yukon,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Roy,Bailey,Souris—Moose Mountain,Saskatchewan,Conservative,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
Hon.,Navdeep,Bains,Mississauga—Malton,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,John,Baird,Ottawa West—Nepean,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-03-16 11:00:00 PM
Hon.,George,Baker,Gander—Grand Falls,Newfoundland and Labrador,Liberal,2000-11-27 12:00:00 AM,2002-03-25 12:00:00 AM
Hon.,Eleni,Bakopanos,Ahuntsic,Quebec,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Vivian,Barbot,Papineau,Quebec,Bloc Québécois,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Rex,Barnes,Gander—Grand Falls,Newfoundland and Labrador,Conservative,2002-05-13 12:00:00 AM,2004-06-27 11:59:59 PM
Hon.,Sue,Barnes,London West,Ontario,Liberal,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Gilbert,Barrette,Témiscamingue,Quebec,Liberal,2003-06-16 12:00:00 AM,2004-06-27 11:59:59 PM
,Joyce,Bateman,Winnipeg South Centre,Manitoba,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Dave,Batters,Palliser,Saskatchewan,Conservative,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Frank,Baylis,Pierrefonds—Dollard,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Josée,Beaudin,Saint-Lambert,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Colleen,Beaumier,Brampton West,Ontario,Liberal,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Réginald,Bélair,Timmins—James Bay,Ontario,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
Hon.,Mauril,Bélanger,Ottawa—Vanier,Ontario,Liberal,2015-10-19 12:00:00 AM,2016-08-15 11:59:59 PM
,Catherine,Bell,Vancouver Island North,British Columbia,NDP,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Don,Bell,North Vancouver,British Columbia,Liberal,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,André,Bellavance,Richmond—Arthabaska,Quebec,Independent,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Michel,Bellehumeur,Berthier—Montcalm,Quebec,Bloc Québécois,2000-11-27 12:00:00 AM,2002-05-18 12:00:00 AM
,Eugène,Bellemare,Ottawa—Orléans,Ontario,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Leon,Benoit,Vegreville—Wainwright,Alberta,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Tyrone,Benskin,Jeanne-Le Ber,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Sheri,Benson,Saskatoon West,Saskatchewan,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bob,Benzen,Calgary Heritage,Alberta,Conservative,2021-09-20 12:00:00 AM,2022-12-31 10:00:59 AM
,Gilles,Bernier,Tobique—Mactaquac,New Brunswick,PC,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Maxime,Bernier,Beauce,Quebec,People's Party,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Yvan,Bernier,Bonaventure—Gaspé—Îles-de-la-Madeleine—Pabok,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Robert,Bertrand,Pontiac—Gatineau—Labelle,Quebec,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Lyne,Bessette,Brome—Missisquoi,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Maurizio,Bevilacqua,Vaughan,Ontario,Liberal,2008-10-14 12:00:00 AM,2010-09-02 11:59:59 PM
,Dennis,Bevington,Northwest Territories,Northwest Territories,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Bernard,Bigras,Rosemont—La Petite-Patrie,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Gérard,Binet,Frontenac—Mégantic,Quebec,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Dawn,Black,New Westminster—Coquitlam,British Columbia,NDP,2008-10-14 12:00:00 AM,2009-04-13 11:59:59 PM
Hon.,Jean-Pierre,Blackburn,Jonquière—Alma,Quebec,Conservative,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
Hon.,Bill,Blaikie,Elmwood—Transcona,Manitoba,NDP,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Raynald,Blais,Gaspésie—Îles-de-la-Madeleine,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Denis,Blanchette,Louis-Hébert,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Lysane,Blanchette-Lamothe,Pierrefonds—Dollard,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
Hon.,Steven,Blaney,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Ethel,Blondin-Andrew,Western Arctic,Northwest Territories,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Alain,Boire,Beauharnois—Salaberry,Quebec,Bloc Québécois,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Françoise,Boivin,Gatineau,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Raymond,Bonin,Nickel Belt,Ontario,Liberal,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,France,Bonsant,Compton—Stanstead,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
Hon.,Paul,Bonwick,Simcoe—Grey,Ontario,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Charmaine,Borg,Terrebonne—Blainville,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Rick,Borotsik,Brandon—Souris,Manitoba,Conservative,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Ken,Boshcoff,Thunder Bay—Rainy River,Ontario,Liberal,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Mike,Bossio,Hastings—Lennox and Addington,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Robert,Bouchard,Chicoutimi—Le Fjord,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Sylvie,Boucher,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Don,Boudria,Glengarry—Prescott—Russell,Ontario,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Michel,Boudrias,Terrebonne,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Ray,Boughen,Palliser,Saskatchewan,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Marc,Boulianne,Mégantic—L'Érable,Quebec,Bloc Québécois,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Diane,Bourgeois,Terrebonne—Blainville,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Marjolaine,Boutin-Sweet,Hochelaga,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Claudette,Bradshaw,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Tarik,Brahmi,Saint-Jean,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Peter,Braid,Kitchener—Waterloo,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Bob,Bratina,Hamilton East—Stoney Creek,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Cliff,Breitkreuz,Yellowhead,Alberta,Canadian Alliance,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,Garry,Breitkreuz,Yorkton—Melville,Saskatchewan,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Pierre,Breton,Shefford,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Pierre,Brien,Témiscamingue,Quebec,Independent,2000-11-27 12:00:00 AM,2003-03-14 12:00:00 AM
Hon.,Scott,Brison,Kings—Hants,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-02-10 11:59:59 PM
Hon.,Ed,Broadbent,Ottawa Centre,Ontario,NDP,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Ruth Ellen,Brosseau,Berthier—Maskinongé,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Bonnie,Brown,Oakville,Ontario,Liberal,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Gordon,Brown,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2015-10-19 12:00:00 AM,2018-05-02 11:59:00 PM
,Lois,Brown,Newmarket—Aurora,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Patrick,Brown,Barrie,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-05-14 12:31:33 PM
,Rod,Bruinooge,Winnipeg South,Manitoba,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Paule,Brunelle,Trois-Rivières,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,John,Bryden,Ancaster—Dundas—Flamborough—Aldershot,Ontario,Conservative,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
Hon.,Sarmite,Bulte,Parkdale—High Park,Ontario,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Andy,Burton,Skeena,British Columbia,Conservative,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Brad,Butt,Mississauga—Streetsville,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
Hon.,Gerry,Byrne,Humber—St. Barbe—Baie Verte,Newfoundland and Labrador,Liberal,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
Hon.,Charles,Caccia,Davenport,Ontario,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Chuck,Cadman,Surrey North,British Columbia,Independent,2004-06-28 12:00:00 AM,2005-07-09 11:59:59 PM
,Dona,Cadman,Surrey North,British Columbia,Conservative,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Celina,Caesar-Chavannes,Whitby,Ontario,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Paul,Calandra,Oak Ridges—Markham,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Murray,Calder,Dufferin—Peel—Wellington—Grey,Ontario,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
Hon.,Ron,Cannan,Kelowna—Lake Country,British Columbia,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,John,Cannis,Scarborough Centre,Ontario,Liberal,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
Hon.,Lawrence,Cannon,Pontiac,Quebec,Conservative,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,René,Canuel,Matapédia—Matane,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
Hon.,Elinor,Caplan,Thornhill,Ontario,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Serge,Cardin,Sherbrooke,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Jean-Guy,Carignan,Québec Est,Quebec,Independent,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,John,Carmichael,Don Valley West,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Guy,Caron,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Gary,Carr,Halton,Ontario,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
Hon.,Jim,Carr,Winnipeg South Centre,Manitoba,Liberal,2021-09-20 12:00:00 AM,2022-12-12 11:59:59 PM
,Robert,Carrier,Alfred-Pellan,Quebec,Bloc Québécois,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
Hon.,Aileen,Carroll,Barrie,Ontario,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
,Bill,Casey,Cumberland—Colchester,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Andrew,Cash,Davenport,Ontario,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
Hon.,Rick,Casson,Lethbridge,Alberta,Conservative,2008-10-14 12:00:00 AM,2011-05-01 11:59:59 PM
,Jeannot,Castonguay,Madawaska—Restigouche,New Brunswick,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Marlene,Catterall,Ottawa West—Nepean,Ontario,Liberal,2004-06-28 12:00:00 AM,2006-01-22 11:59:00 PM
Hon.,Martin,Cauchon,Outremont,Quebec,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
Hon.,Brenda,Chamberlain,Guelph,Ontario,Liberal,2006-01-23 12:00:00 AM,2008-04-07 11:59:59 PM
,Arnold,Chan,Scarborough—Agincourt,Ontario,Liberal,2015-10-19 12:00:00 AM,2017-09-14 12:00:00 PM
Hon.,Raymond,Chan,Richmond,British Columbia,Liberal,2006-01-23 12:00:00 AM,2008-10-13 11:59:59 PM
,Louise,Charbonneau,Trois-Rivières,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
Hon.,Yvon,Charbonneau,Anjou—Rivière-des-Prairies,Quebec,Liberal,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
Hon.,Jean,Charest,Sherbrooke,Quebec,PC,1997-06-02 12:00:00 AM,1998-05-01 12:00:00 AM
,Chris,Charlton,Hamilton Mountain,Ontario,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,David,Chatters,Westlock—St. Paul,Alberta,Conservative,2005-02-24 12:00:00 AM,2006-01-22 11:59:00 PM
,Sylvain,Chicoine,Châteauguay—Saint-Constant,Quebec,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Robert,Chisholm,Dartmouth—Cole Harbour,Nova Scotia,NDP,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Corneliu,Chisu,Pickering—Scarborough East,Ontario,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
,Kenny,Chiu,Steveston—Richmond East,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,François,Choquette,Drummond,Quebec,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Olivia,Chow,Trinity—Spadina,Ontario,NDP,2011-05-02 12:00:00 AM,2014-03-12 11:59:59 PM
Right Hon.,Jean,Chrétien,Saint-Maurice,Quebec,Liberal,2000-11-27 12:00:00 AM,2003-12-12 11:59:59 PM
,Jean-Guy,Chrétien,Frontenac—Mégantic,Quebec,Bloc Québécois,1997-06-02 12:00:00 AM,2000-11-26 12:00:00 AM
,David,Christopherson,Hamilton Centre,Ontario,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Right Hon.,Joe,Clark,Calgary Centre,Alberta,PC,2000-11-27 12:00:00 AM,2004-06-27 11:59:59 PM
,Alupa,Clarke,Beauport—Limoilou,Quebec,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Rob,Clarke,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,2011-05-02 12:00:00 AM,2015-10-18 11:59:59 PM
