Id,SponsorName,SponsorTitle,Constituency,Political Affiliation,Code,Title,LatestStageName,ParliamentNumber,SessionNumber,BillType,ReceivedRoyalAssent,Ongoing,ReadingsPassed,BillOrigin,FirstStageDate,LastStageDate,TimeAlive
41-2/C-532,Rathika Sitsabaiesan,Member of Parliament,Scarborough—Rouge River,NDP,C-532,An Act to amend the Navigable Waters Protection Act (Rouge River),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-532,Rathika Sitsabaiesan,Member of Parliament,Scarborough—Rouge River,NDP,C-532,An Act to amend the Navigable Waters Protection Act (Rouge River),First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-12,2013-06-12,0 days
40-3/C-532,John Rafferty,Member of Parliament,Thunder Bay—Rainy River,NDP,C-532,An Act to amend the Food and Drugs Act (warning labels regarding the consumption of alcohol),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-10,2010-06-10,0 days
39-2/C-532,Bill Siksay,Member of Parliament,Burnaby—Douglas,NDP,C-532,An Act to amend the Income Tax Act (low-cost residential rental property),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-03,2008-04-03,0 days
41-2/C-533,Ralph Goodale,Member of Parliament,Wascana,Liberal,C-533,Protecting Canada's Public Transportation Workers Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-533,Ralph Goodale,Member of Parliament,Wascana,Liberal,C-533,Protecting Canada's Public Transportation Workers Act,First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-12,2013-06-12,0 days
40-3/C-533,Robert Oliphant,Member of Parliament,Don Valley West,Liberal,C-533,Srebrenica Remembrance Day Act,First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-10,2010-06-10,0 days
39-2/C-533,Peter Julian,Member of Parliament,Burnaby—New Westminster,NDP,C-533,An Act to amend the Canadian International Trade Tribunal Act (appointment of permanent members),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-04,2008-04-04,0 days
41-2/C-534,Christine Moore,Member of Parliament,Abitibi—Témiscamingue,NDP,C-534,An Act to amend the Navigable Waters Protection Act (Abitibi and Témiscamingue regions),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-534,Christine Moore,Member of Parliament,Abitibi—Témiscamingue,NDP,C-534,An Act to amend the Navigable Waters Protection Act (Abitibi and Témiscamingue regions),First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-13,2013-06-13,0 days
40-3/C-534,Chris Charlton,Member of Parliament,Hamilton Mountain,NDP,C-534,An Act to amend the Income Tax Act (in-home care of relative),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-11,2010-06-11,0 days
39-2/C-534,Lloyd Amand,Member of Parliament,Brant,,C-534,Canadian Aerospace Technology Protection Act,First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-09,2008-04-09,0 days
41-2/C-535,Romeo Saganash,Member of Parliament,Abitibi—Baie-James—Nunavik—Eeyou,NDP,C-535,"An Act to amend the Navigable Waters Protection Act (Vallée-de-l’Or, Anishinabe Aki and Eeyou Istchee regions)",First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-535,Romeo Saganash,Member of Parliament,Abitibi—Baie-James—Nunavik—Eeyou,NDP,C-535,"An Act to amend the Navigable Waters Protection Act (Vallée-de-l’Or, Anishinabe Aki and Eeyou Istchee regions)",First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-13,2013-06-13,0 days
40-3/C-535,Scott Simms,Member of Parliament,Bonavista—Gander—Grand Falls—Windsor,Liberal,C-535,An Act to amend the Employment Insurance Act (sickness benefits),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-14,2010-06-14,0 days
39-2/C-535,Francis Scarpaleggia,Member of Parliament,Lac-Saint-Louis,Liberal,C-535,Canada Water Preservation Act,First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-11,2008-04-11,0 days
41-2/C-536,Claude Gravelle,Member of Parliament,Nickel Belt,NDP,C-536,An Act to amend the Navigable Waters Protection Act (Trout Lake),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-536,Claude Gravelle,Member of Parliament,Nickel Belt,NDP,C-536,An Act to amend the Navigable Waters Protection Act (Trout Lake),First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-13,2013-06-13,0 days
40-3/C-536,Bill Siksay,Member of Parliament,Burnaby—Douglas,NDP,C-536,An Act to amend the Canadian Human Rights Act (genetic characteristics),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-14,2010-06-14,0 days
39-2/C-536,Irwin Cotler,Member of Parliament,Mount Royal,Liberal,C-536,Sudan Accountability Act,First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-11,2008-04-11,0 days
41-2/C-537,Irwin Cotler,Member of Parliament,Mount Royal,Liberal,C-537,Constitution Compliance Review Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-537,Irwin Cotler,Member of Parliament,Mount Royal,Liberal,C-537,Constitution Compliance Review Act,First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-17,2013-06-17,0 days
40-3/C-537,Borys Wrzesnewskyj,Member of Parliament,Etobicoke Centre,Liberal,C-537,An Act to amend the Criminal Code (judicial interim release for offences involving firearms),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-14,2010-06-14,0 days
39-2/C-537,Maurice Vellacott,Member of Parliament,Saskatoon—Wanuskewin,Conservative,C-537,An Act to amend the Criminal Code (protection of conscience rights in the health care profession),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-16,2008-04-16,0 days
41-2/C-538,Jasbir Sandhu,Member of Parliament,Surrey North,NDP,C-538,An Act to amend the Navigable Waters Protection Act (Bear Creek),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-538,Jasbir Sandhu,Member of Parliament,Surrey North,NDP,C-538,An Act to amend the Navigable Waters Protection Act (Bear Creek),First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-17,2013-06-17,0 days
40-3/C-538,Libby Davies,Member of Parliament,Vancouver East,NDP,C-538,An Act to Amend the Canada Pension Plan (designation of survivor),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-14,2010-06-14,0 days
39-2/C-538,Alex Atamanenko,Member of Parliament,British Columbia Southern Interior,NDP,C-538,Drinking Water Quality Act,First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-29,2008-04-29,0 days
41-2/C-539,Anne Minh-Thu Quach,Member of Parliament,Beauharnois—Salaberry,NDP,C-539,Promotion of Local Foods Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-539,Anne Minh-Thu Quach,Member of Parliament,Beauharnois—Salaberry,NDP,C-539,Promotion of Local Foods Act,First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-17,2013-06-17,0 days
40-3/C-539,Michelle Simson,Member of Parliament,Scarborough Southwest,Liberal,C-539,An Act respecting the Marihuana Medical Access Regulations,First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-15,2010-06-15,0 days
39-2/C-539,Thierry St-Cyr,Member of Parliament,Jeanne-Le Ber,Bloc Québécois,C-539,An Act to amend the Canada Transportation Act (vibration and noise),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-04-29,2008-04-29,0 days
41-2/C-540,Robert Chisholm,Member of Parliament,Dartmouth—Cole Harbour,NDP,C-540,An Act to amend the Criminal Code (non-consensual making or distributing of intimate images),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,,,
41-1/C-540,Robert Chisholm,Member of Parliament,Dartmouth—Cole Harbour,NDP,C-540,An Act to amend the Criminal Code (non-consensual making or distributing of intimate images),First reading in the House of Commons,41,1,Private Member’s Bill,False,False,1,IsHouseBill,2013-06-17,2013-06-17,0 days
40-3/C-540,Claude Gravelle,Member of Parliament,Nickel Belt,NDP,C-540,An Act to amend the Holidays Act and to make consequential amendments to other Acts (St. John the Baptist Day),First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-15,2010-06-15,0 days
39-2/C-540,Jean-Yves Laforest,Member of Parliament,Saint-Maurice—Champlain,Bloc Québécois,C-540,An Act to amend the Broadcasting Act and the Telecommunications Act (broadcasting and telecommunications policies),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-05-01,2008-05-01,0 days
41-2/C-541,Mike Sullivan,Member of Parliament,York South—Weston,NDP,C-541,An Act to amend the Criminal Code (hate propaganda),First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2013-10-21,2013-10-21,0 days
40-3/C-541,Jim Maloway,Member of Parliament,Elmwood—Transcona,NDP,C-541,Air Passengers' Bill of Rights,First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,2010-06-15,2010-06-15,0 days
39-2/C-541,Judy Wasylycia-Leis,Member of Parliament,Winnipeg North,NDP,C-541,An Act to amend the Hazardous Products Act (noise limit for children’s products),First reading in the House of Commons,39,2,Private Member’s Bill,False,False,1,IsHouseBill,2008-05-01,2008-05-01,0 days
41-2/C-542,Andrew Cash,Member of Parliament,Davenport,NDP,C-542,National Urban Workers Strategy Act,First reading in the House of Commons,41,2,Private Member’s Bill,False,False,1,IsHouseBill,2013-10-21,2013-10-21,0 days
40-3/C-542,Gordon Brown,Member of Parliament,Leeds—Grenville,Conservative,C-542,An Act to amend the Employment Insurance Act (illness of child) and another Act in consequence,First reading in the House of Commons,40,3,Private Member’s Bill,False,False,1,IsHouseBill,,,
