SponsorInfo
Name: Tommy Banks
Title: Senator
Constituency: None"
"ID: 37-1/S-12
Name: Lorna Milne
Title: Senator
Constituency: None"
"ID: 36-2/S-12
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 36-1/S-12
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 35-2/S-12
Name: David Tkachuk
Title: Senator
Constituency: None"
"ID: 35-1/S-12
Name: Leonard Gustafson
Title: Senator
Constituency: None"
"ID: 41-1/S-13
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 40-3/S-13
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-13
Name: Donald H. Oliver
Title: Senator
Constituency: None"
"ID: 37-3/S-13
Name: Terry Stratton
Title: Senator
Constituency: None"
"ID: 37-2/S-13
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 37-1/S-13
Name: John Lynch-Staunton
Title: Senator
Constituency: None"
"ID: 36-2/S-13
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 36-1/S-13
Name: Colin Kenny
Title: Senator
Constituency: None"
"ID: 35-2/S-13
Name: Sharon Carstairs
Title: Senator
Constituency: None"
"ID: 35-1/S-13
Name: Anne C. Cools
Title: Senator
Constituency: None"
"ID: 41-1/S-14
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-14
Name: J. Michael Forrestall
Title: Senator
Constituency: None"
"ID: 37-3/S-14
Name: James Kelleher
Title: Senator
Constituency: None"
"ID: 37-2/S-14
Name: Noël A. Kinsella
Title: Senator
Constituency: None"
"ID: 37-1/S-14
Name: John Lynch-Staunton
Title: Senator
Constituency: None"
"ID: 36-2/S-14
Name: Nicholas Taylor
Title: Senator
Constituency: None"
"ID: 36-1/S-14
Name: David Tkachuk
Title: Senator
Constituency: None"
"ID: 35-2/S-14
Name: Sharon Carstairs
Title: Senator
Constituency: None"
"ID: 35-1/S-14
Name: Stanley Haidasz
Title: Senator
Constituency: None"
"ID: 41-1/S-15
Name: None
Title: Leader of the Government in the Senate
Constituency: None"
"ID: 38-1/S-15
Name: Donald H. Oliver
Title: Senator
Constituency: None"
"ID: 37-3/S-15
